input,output
"[B(u, x)] S(s, l) | B(c, x) | B(e, w) | B(w, c) | P(r, o) | B(u, e)","[0, 1, 1, 1, 0, 1]"
"[B(x, z)] B(y, z) | B(p, j) | B(x, q) | S(k, d) | B(q, o) | P(l, v) | B(h, y) | B(o, h)","[1, 0, 1, 0, 1, 0, 1, 1]"
"[P(g, x)] P(e, o) | P(g, s) | P(y, x) | B(q, f) | B(j, d) | P(s, y) | B(m, b)","[0, 1, 1, 0, 0, 1, 0]"
"[S(j, z)] S(j, n) | S(i, g) | S(w, z) | S(n, i) | B(p, o) | S(v, r) | S(g, w) | S(l, c)","[1, 1, 1, 1, 0, 0, 1, 0]"
"[S(i, y)] S(v, e) | B(u, r) | S(c, g) | S(b, c) | P(h, j) | S(i, b) | S(g, w) | S(w, y)","[0, 0, 1, 1, 0, 1, 1, 1]"
"[B(d, h)] B(y, q) | P(z, f) | B(d, e) | B(w, h) | B(q, w) | B(e, y) | P(b, j)","[1, 0, 1, 1, 1, 1, 0]"
"[S(u, w)] P(e, x) | B(v, z) | B(t, m) | S(d, j) | B(h, r) | S(j, f) | S(f, w) | S(u, d)","[0, 0, 0, 1, 0, 1, 1, 1]"
"[B(m, l)] S(f, b) | B(h, s) | P(i, y) | P(r, j) | B(s, c) | B(m, h) | B(c, l)","[0, 1, 0, 0, 1, 1, 1]"
"[P(c, d)] P(z, u) | B(j, g) | P(l, d) | P(v, y) | P(c, v) | S(a, f) | P(r, l) | P(y, r) | P(q, e)","[0, 0, 1, 1, 1, 0, 1, 1, 0]"
"[S(l, a)] S(q, w) | P(r, c) | S(v, j) | S(l, q) | B(n, s) | S(w, a)","[1, 0, 0, 1, 0, 1]"
"[P(j, n)] P(k, h) | S(y, x) | P(p, n) | P(r, a) | P(j, k) | B(q, b) | P(c, p) | P(g, v) | P(h, c)","[1, 0, 1, 0, 1, 0, 1, 0, 1]"
"[P(m, w)] B(h, j) | P(m, o) | B(n, d) | B(e, z) | P(y, w) | P(s, v) | P(o, y)","[0, 1, 0, 0, 1, 0, 1]"
"[P(k, p)] S(o, e) | P(u, q) | P(k, j) | P(j, v) | P(t, r) | P(v, u) | P(q, p)","[0, 1, 1, 1, 0, 1, 1]"
"[P(r, b)] P(y, s) | B(x, f) | B(c, u) | P(s, j) | P(j, w) | P(w, b) | P(r, y)","[1, 0, 0, 1, 1, 1, 1]"
"[B(j, o)] S(r, x) | B(u, e) | B(y, o) | B(j, u) | P(z, v) | S(c, b) | B(q, y) | B(e, q)","[0, 1, 1, 1, 0, 0, 1, 1]"
"[B(z, w)] B(n, t) | B(r, y) | B(y, n) | B(z, r) | B(t, w) | S(a, j) | P(g, i)","[1, 1, 1, 1, 1, 0, 0]"
"[S(n, u)] B(o, i) | S(s, f) | S(y, a) | S(n, t) | B(c, v) | S(f, u) | S(t, z) | S(z, s)","[0, 1, 0, 1, 0, 1, 1, 1]"
"[P(v, c)] S(z, t) | P(o, c) | P(x, a) | P(a, o) | P(v, r) | S(b, e) | P(r, x)","[0, 1, 1, 1, 1, 0, 1]"
"[S(t, y)] S(t, j) | P(x, l) | S(h, u) | S(u, y) | S(j, h) | B(w, o) | B(m, p)","[1, 0, 1, 1, 1, 0, 0]"
"[P(t, e)] P(i, s) | P(s, v) | P(t, i) | B(z, x) | P(v, e) | S(h, c) | P(p, g)","[1, 1, 1, 0, 1, 0, 0]"
"[S(i, p)] S(e, x) | S(v, w) | S(w, p) | S(d, v) | S(i, h) | S(m, g) | S(h, d) | B(a, s)","[0, 1, 1, 1, 1, 0, 1, 0]"
"[B(r, j)] B(r, s) | B(k, j) | B(s, k) | S(b, l) | B(d, x) | S(c, o) | P(n, v)","[1, 1, 1, 0, 0, 0, 0]"
"[B(o, b)] B(d, v) | B(o, w) | B(w, d) | P(y, j) | B(v, b) | B(p, k)","[1, 1, 1, 0, 1, 0]"
"[P(k, i)] S(z, g) | P(a, i) | P(f, m) | B(u, l) | P(d, a) | S(w, n) | P(k, d)","[0, 1, 0, 0, 1, 0, 1]"
"[S(n, h)] S(a, h) | B(d, s) | S(t, p) | S(c, e) | S(v, f) | S(q, v) | S(f, a) | S(n, q)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[S(h, b)] P(a, f) | P(y, o) | S(w, q) | S(h, w) | P(j, g) | S(q, b)","[0, 0, 1, 1, 0, 1]"
"[S(n, q)] S(a, z) | S(i, q) | S(y, r) | S(t, a) | S(n, t) | S(l, k) | S(z, i)","[1, 1, 0, 1, 1, 0, 1]"
"[B(h, n)] B(v, k) | S(m, p) | S(r, s) | B(x, n) | B(k, x) | B(o, d) | B(h, v)","[1, 0, 0, 1, 1, 0, 1]"
"[S(x, j)] P(a, f) | S(d, m) | S(m, y) | S(n, p) | S(y, j) | S(x, d)","[0, 1, 1, 0, 1, 1]"
"[S(l, i)] S(q, k) | S(t, j) | P(v, x) | S(l, n) | S(b, i) | S(a, b) | S(n, a) | S(p, z)","[0, 0, 0, 1, 1, 1, 1, 0]"
"[B(n, d)] B(n, k) | B(k, e) | P(q, f) | B(l, d) | B(e, l) | S(y, a) | B(x, p)","[1, 1, 0, 1, 1, 0, 0]"
"[P(z, m)] P(a, n) | P(k, h) | P(h, m) | P(g, x) | P(w, k) | B(y, t) | P(z, w)","[0, 1, 1, 0, 1, 0, 1]"
"[P(q, t)] P(j, t) | P(q, s) | P(b, d) | P(s, j) | B(p, r)","[1, 1, 0, 1, 0]"
"[B(k, e)] P(q, x) | B(b, i) | B(i, e) | B(l, y) | B(p, v) | S(o, a) | B(k, b)","[0, 1, 1, 0, 0, 0, 1]"
"[P(w, v)] P(t, b) | S(q, p) | P(b, v) | P(a, k) | P(u, h) | S(e, d) | P(w, u) | P(h, t)","[1, 0, 1, 0, 1, 0, 1, 1]"
"[S(h, d)] P(f, o) | S(y, m) | S(h, y) | P(r, k) | S(n, d) | S(m, n) | P(z, s)","[0, 1, 1, 0, 1, 1, 0]"
"[S(r, w)] S(j, p) | S(v, w) | B(x, e) | S(z, h) | B(a, m) | S(h, v) | S(u, z) | S(r, u)","[0, 1, 0, 1, 0, 1, 1, 1]"
"[B(t, f)] B(y, c) | P(d, q) | B(t, y) | B(c, f) | P(x, b) | S(o, e)","[1, 0, 1, 1, 0, 0]"
"[B(l, w)] S(r, e) | B(o, x) | B(a, v) | S(k, s) | B(p, w) | B(l, o) | B(x, p)","[0, 1, 0, 0, 1, 1, 1]"
"[P(w, x)] P(y, s) | P(u, i) | P(i, m) | B(v, o) | S(z, p) | P(w, a) | P(a, u) | B(k, n) | P(m, x)","[0, 1, 1, 0, 0, 1, 1, 0, 1]"
"[P(z, g)] P(z, r) | S(h, q) | P(t, g) | S(m, e) | P(r, t)","[1, 0, 1, 0, 1]"
"[P(m, s)] P(m, p) | B(u, r) | P(n, s) | P(c, q) | P(p, l) | S(w, z) | P(l, n) | B(h, v)","[1, 0, 1, 0, 1, 0, 1, 0]"
"[S(y, q)] P(o, u) | S(s, r) | S(c, q) | S(r, c) | P(b, a) | S(y, s) | B(i, k)","[0, 1, 1, 1, 0, 1, 0]"
"[S(x, y)] P(j, q) | S(n, f) | S(x, z) | S(u, g) | P(d, a) | S(m, n) | S(z, m) | B(l, e) | S(f, y)","[0, 1, 1, 0, 0, 1, 1, 0, 1]"
"[S(r, m)] S(e, m) | P(d, j) | S(q, e) | S(r, x) | S(y, n) | S(x, q)","[1, 0, 1, 1, 0, 1]"
"[S(z, k)] S(z, j) | S(p, o) | S(s, b) | P(q, a) | P(g, d) | S(j, s) | S(b, k)","[1, 0, 1, 0, 0, 1, 1]"
"[P(o, b)] S(j, a) | S(x, h) | P(w, n) | P(q, f) | P(y, z) | P(o, q) | P(z, b) | P(f, y) | S(l, i)","[0, 0, 0, 1, 1, 1, 1, 1, 0]"
"[B(h, p)] B(h, e) | P(l, k) | S(m, b) | B(q, p) | B(e, q) | B(i, s)","[1, 0, 0, 1, 1, 0]"
"[S(s, v)] S(m, v) | S(i, k) | S(n, y) | S(y, m) | S(s, n) | P(w, f)","[1, 0, 1, 1, 1, 0]"
"[P(o, t)] P(m, r) | P(y, b) | S(p, w) | P(o, y) | P(b, t)","[0, 1, 0, 1, 1]"
"[P(a, y)] P(p, y) | P(j, h) | S(s, l) | P(a, j) | S(n, z) | P(i, p) | P(x, d) | P(h, i)","[1, 1, 0, 1, 0, 1, 0, 1]"
"[B(q, u)] S(c, f) | B(p, d) | B(n, u) | B(q, p) | B(v, n) | B(b, w) | B(d, v)","[0, 1, 1, 1, 1, 0, 1]"
"[B(y, w)] B(m, v) | B(y, m) | P(g, u) | B(k, s) | B(v, w) | S(p, z)","[1, 1, 0, 0, 1, 0]"
"[B(w, q)] B(o, h) | S(n, a) | B(b, m) | B(m, q) | B(c, d) | B(w, b)","[0, 0, 1, 1, 0, 1]"
"[P(x, t)] P(d, t) | P(x, e) | P(f, g) | P(e, p) | S(a, z) | P(p, d) | B(n, l)","[1, 1, 0, 1, 0, 1, 0]"
"[P(i, g)] P(i, u) | P(u, k) | S(r, t) | P(x, o) | B(m, v) | P(e, y) | P(k, g)","[1, 1, 0, 0, 0, 0, 1]"
"[S(h, p)] P(e, x) | S(y, p) | P(d, b) | S(t, j) | S(l, q) | S(h, t) | S(j, y)","[0, 1, 0, 1, 0, 1, 1]"
"[S(b, f)] B(j, w) | S(u, y) | S(h, f) | S(p, h) | S(b, p) | B(i, r)","[0, 0, 1, 1, 1, 0]"
"[P(y, q)] S(e, b) | P(v, h) | P(o, s) | P(p, q) | S(r, f) | P(y, v) | P(z, p) | P(h, z)","[0, 1, 0, 1, 0, 1, 1, 1]"
"[B(m, x)] S(l, z) | B(m, f) | S(j, a) | P(v, o) | B(d, b) | B(n, x) | B(f, n)","[0, 1, 0, 0, 0, 1, 1]"
"[P(x, m)] S(q, h) | P(p, m) | P(j, v) | P(c, p) | P(x, c) | B(f, o)","[0, 1, 0, 1, 1, 0]"
"[B(p, l)] B(b, l) | B(n, i) | P(f, w) | P(k, z) | S(s, o) | B(p, r) | B(r, b)","[1, 0, 0, 0, 0, 1, 1]"
"[S(o, u)] S(o, l) | S(l, r) | S(b, g) | P(i, p) | S(r, b) | B(e, z) | S(g, u)","[1, 1, 1, 0, 1, 0, 1]"
"[S(t, v)] S(c, x) | S(l, v) | S(t, m) | S(g, f) | S(m, l)","[0, 1, 1, 0, 1]"
"[B(x, j)] B(x, g) | B(g, e) | S(l, y) | P(k, a) | B(o, z) | B(e, j) | B(s, q)","[1, 1, 0, 0, 0, 1, 0]"
"[P(d, g)] P(j, g) | P(n, j) | P(d, n) | P(p, i) | B(t, q)","[1, 1, 1, 0, 0]"
"[P(u, e)] P(i, b) | P(u, t) | P(l, n) | P(t, i) | S(g, c) | P(b, e)","[1, 1, 0, 1, 0, 1]"
"[B(n, r)] B(n, k) | B(u, r) | B(k, u) | P(t, m) | B(b, y) | B(j, e) | P(c, a)","[1, 1, 1, 0, 0, 0, 0]"
"[P(e, s)] P(e, p) | P(p, l) | P(l, a) | B(n, j) | P(a, h) | P(h, s) | P(c, b)","[1, 1, 1, 0, 1, 1, 0]"
"[B(g, d)] B(i, d) | B(v, j) | B(s, m) | B(g, v) | P(t, c) | B(j, i)","[1, 1, 0, 1, 0, 1]"
"[S(t, m)] S(p, v) | B(l, q) | S(v, m) | S(t, p) | S(c, g) | B(e, j)","[1, 0, 1, 1, 0, 0]"
"[P(o, c)] S(p, n) | P(o, k) | P(g, c) | P(s, g) | P(k, s) | P(t, r) | B(b, y)","[0, 1, 1, 1, 1, 0, 0]"
"[S(k, s)] S(g, q) | S(l, n) | B(j, v) | S(k, l) | S(n, g) | P(u, i) | P(b, y) | S(q, s) | S(t, r)","[1, 1, 0, 1, 1, 0, 0, 1, 0]"
"[B(m, r)] B(a, w) | B(b, a) | S(k, n) | B(w, r) | B(g, d) | B(m, b)","[1, 1, 0, 1, 0, 1]"
"[S(s, e)] S(f, e) | S(o, f) | S(b, o) | S(n, q) | B(v, j) | S(s, w) | S(w, b) | P(k, c)","[1, 1, 1, 0, 0, 1, 1, 0]"
"[B(z, v)] S(o, y) | B(n, f) | B(a, m) | B(m, v) | S(r, t) | B(g, x) | B(z, a)","[0, 0, 1, 1, 0, 0, 1]"
"[P(l, u)] P(i, u) | P(v, k) | S(w, o) | B(c, a) | P(l, v) | P(q, i) | P(k, q) | P(n, h)","[1, 1, 0, 0, 1, 1, 1, 0]"
"[P(d, z)] S(p, y) | P(u, j) | P(s, b) | P(a, c) | P(d, s) | B(i, m) | P(k, e) | P(j, z) | P(b, u)","[0, 1, 1, 0, 1, 0, 0, 1, 1]"
"[B(d, y)] B(d, g) | B(p, y) | B(g, p) | S(l, k) | B(u, o) | P(v, j) | S(f, m)","[1, 1, 1, 0, 0, 0, 0]"
"[B(v, x)] B(v, y) | S(o, f) | B(y, m) | S(p, s) | B(m, x)","[1, 0, 1, 0, 1]"
"[P(r, c)] P(v, c) | P(r, y) | P(f, h) | P(y, v) | S(s, a)","[1, 1, 0, 1, 0]"
"[B(o, p)] B(z, q) | B(m, w) | B(y, m) | B(i, l) | B(o, y) | B(k, s) | B(w, p)","[0, 1, 1, 0, 1, 0, 1]"
"[B(p, m)] B(o, x) | B(x, z) | B(z, m) | S(k, s) | B(p, o) | P(y, j)","[1, 1, 1, 0, 1, 0]"
"[B(m, t)] B(w, t) | S(i, k) | B(n, w) | B(d, j) | B(m, a) | P(s, q) | S(p, e) | B(a, n)","[1, 0, 1, 0, 1, 0, 0, 1]"
"[P(w, v)] P(g, t) | P(w, r) | P(t, v) | P(y, e) | P(l, j) | P(r, g)","[1, 1, 1, 0, 0, 1]"
"[S(o, d)] S(z, x) | S(e, w) | S(a, m) | B(t, p) | B(j, h) | S(w, d) | S(o, a) | S(m, e)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[S(n, q)] S(n, l) | S(l, v) | P(x, a) | B(b, h) | S(v, q) | B(y, i)","[1, 1, 0, 0, 1, 0]"
"[B(e, l)] B(z, f) | B(t, j) | B(e, z) | B(f, l) | P(n, r) | B(b, y) | P(m, g)","[1, 0, 1, 1, 0, 0, 0]"
"[B(v, g)] P(n, e) | B(v, b) | B(s, g) | P(l, h) | B(b, q) | B(q, s) | B(u, y)","[0, 1, 1, 0, 1, 1, 0]"
"[S(s, p)] B(g, l) | S(z, q) | S(s, y) | P(e, k) | S(y, z) | P(u, v) | B(h, r) | S(q, p)","[0, 1, 1, 0, 1, 0, 0, 1]"
"[S(r, x)] S(a, x) | B(p, n) | S(m, w) | S(q, h) | S(h, a) | S(l, e) | S(v, q) | B(b, f) | S(r, v)","[1, 0, 0, 1, 1, 0, 1, 0, 1]"
"[P(k, s)] B(b, n) | B(e, o) | P(h, s) | P(y, f) | P(k, x) | P(x, h) | B(g, j)","[0, 0, 1, 0, 1, 1, 0]"
"[S(b, i)] S(p, x) | B(q, j) | S(u, o) | S(y, a) | S(n, p) | S(g, i) | S(x, g) | S(b, n)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[S(p, z)] S(g, z) | B(m, e) | B(w, a) | S(r, g) | S(p, r) | S(b, q)","[1, 0, 0, 1, 1, 0]"
"[P(y, h)] P(i, h) | P(u, b) | P(d, a) | P(a, i) | S(w, p) | P(y, d) | S(m, c)","[1, 0, 1, 1, 0, 1, 0]"
"[S(o, w)] S(a, v) | S(y, k) | S(o, t) | B(s, l) | S(f, h) | S(h, w) | S(t, j) | S(j, f)","[0, 0, 1, 0, 1, 1, 1, 1]"
"[P(u, w)] B(r, p) | P(f, x) | P(q, n) | P(u, f) | P(s, w) | P(x, s)","[0, 1, 0, 1, 1, 1]"
"[P(n, p)] P(l, b) | P(b, q) | B(t, d) | P(q, p) | P(n, w) | P(e, r) | P(a, o) | P(w, l)","[1, 1, 0, 1, 1, 0, 0, 1]"
"[S(w, f)] S(z, k) | B(a, c) | B(i, u) | S(k, d) | S(e, z) | S(m, q) | P(g, v) | S(d, f) | S(w, e)","[1, 0, 0, 1, 1, 0, 0, 1, 1]"
"[S(i, s)] S(i, t) | B(u, o) | S(v, e) | S(t, v) | S(e, s) | B(j, y) | S(l, n) | B(r, g)","[1, 0, 1, 1, 1, 0, 0, 0]"
"[S(d, i)] S(t, i) | B(w, r) | S(q, l) | B(o, c) | S(x, y) | S(d, x) | S(y, z) | S(z, t)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[S(v, k)] S(v, l) | S(p, u) | S(u, k) | P(y, f) | S(m, p) | S(c, j) | S(l, m)","[1, 1, 1, 0, 1, 0, 1]"
"[S(h, s)] S(j, c) | B(z, p) | S(u, y) | S(h, e) | B(q, f) | S(c, s) | S(e, j)","[1, 0, 0, 1, 0, 1, 1]"
"[P(g, b)] P(h, k) | S(f, e) | P(j, b) | P(k, j) | P(y, n) | P(g, h)","[1, 0, 1, 1, 0, 1]"
"[P(k, s)] P(g, c) | P(o, g) | P(k, o) | P(x, e) | S(w, q) | S(a, n) | P(c, s)","[1, 1, 1, 0, 0, 0, 1]"
"[P(f, h)] P(u, l) | P(v, z) | P(f, u) | S(s, n) | P(a, h) | P(l, a) | B(j, g)","[1, 0, 1, 0, 1, 1, 0]"
"[S(l, g)] B(c, p) | S(w, z) | S(k, i) | S(d, f) | S(e, y) | S(z, g) | S(l, w)","[0, 1, 0, 0, 0, 1, 1]"
"[S(c, f)] S(z, y) | S(c, p) | S(p, z) | B(t, h) | S(y, f) | P(b, k)","[1, 1, 1, 0, 1, 0]"
"[B(j, g)] B(j, d) | B(k, g) | P(e, z) | B(d, m) | P(h, p) | P(u, r) | B(m, k) | B(b, q)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[P(t, f)] B(v, m) | P(l, i) | P(n, f) | B(d, r) | P(t, w) | P(w, n)","[0, 0, 1, 0, 1, 1]"
"[P(t, v)] P(n, g) | B(m, a) | P(f, n) | P(t, f) | S(e, h) | P(u, q) | P(g, v) | P(c, k)","[1, 0, 1, 1, 0, 0, 1, 0]"
"[S(r, d)] B(j, t) | P(z, s) | S(u, h) | P(p, x) | S(v, o) | S(h, v) | S(o, d) | S(r, u) | B(b, n)","[0, 0, 1, 0, 1, 1, 1, 1, 0]"
"[P(q, s)] P(v, n) | P(q, r) | P(r, k) | P(a, d) | P(k, s)","[0, 1, 1, 0, 1]"
"[B(w, z)] B(n, l) | S(j, k) | B(w, b) | S(a, h) | B(b, n) | P(x, c) | B(l, z)","[1, 0, 1, 0, 1, 0, 1]"
"[S(w, j)] S(w, x) | S(c, d) | S(x, m) | S(m, f) | P(o, n) | S(f, j)","[1, 0, 1, 1, 0, 1]"
"[S(t, m)] S(f, u) | S(j, a) | S(a, q) | B(b, h) | S(g, w) | B(o, k) | S(t, j) | S(q, m)","[0, 1, 1, 0, 0, 0, 1, 1]"
"[B(g, q)] B(b, z) | B(p, q) | B(z, v) | B(v, p) | S(n, h) | B(c, l) | S(m, u) | B(g, b)","[1, 1, 1, 1, 0, 0, 0, 1]"
"[S(i, t)] B(l, p) | S(m, a) | S(i, m) | S(a, v) | S(v, t) | P(g, o) | S(b, d)","[0, 1, 1, 1, 1, 0, 0]"
"[P(d, o)] P(a, z) | P(k, a) | P(d, k) | P(b, x) | B(j, n) | P(z, o)","[1, 1, 1, 0, 0, 1]"
"[B(h, u)] B(l, e) | P(o, c) | P(m, q) | B(j, f) | B(r, w) | B(h, r) | B(e, u) | P(d, v) | B(w, l)","[1, 0, 0, 0, 1, 1, 1, 0, 1]"
"[B(w, b)] B(i, b) | B(e, h) | P(l, u) | B(w, x) | B(z, f) | B(x, e) | B(h, i)","[1, 1, 0, 1, 0, 1, 1]"
"[S(s, o)] S(s, u) | S(k, o) | S(g, e) | S(v, j) | S(u, a) | S(a, l) | B(h, x) | S(l, k) | P(p, z)","[1, 1, 0, 0, 1, 1, 0, 1, 0]"
"[S(z, g)] S(b, t) | S(t, g) | S(r, h) | P(d, n) | S(z, y) | S(c, b) | B(k, o) | S(y, c)","[1, 1, 0, 0, 1, 1, 0, 1]"
"[B(n, i)] B(g, t) | S(v, x) | P(l, s) | B(u, i) | B(t, u) | B(p, w) | B(y, z) | B(n, g)","[1, 0, 0, 1, 1, 0, 0, 1]"
"[B(u, v)] B(k, v) | P(c, i) | P(p, a) | S(t, g) | B(q, k) | B(l, q) | B(u, l) | P(b, o)","[1, 0, 0, 0, 1, 1, 1, 0]"
"[P(f, t)] B(a, y) | B(j, n) | P(f, g) | P(g, s) | P(s, t)","[0, 0, 1, 1, 1]"
"[P(a, z)] P(a, y) | P(h, e) | B(m, r) | P(w, z) | P(g, f) | P(y, w)","[1, 0, 0, 1, 0, 1]"
"[S(v, o)] S(v, z) | S(i, o) | S(x, j) | B(d, s) | S(z, i)","[1, 1, 0, 0, 1]"
"[S(x, i)] S(h, c) | S(x, l) | S(g, j) | S(l, g) | S(a, t) | S(j, i)","[0, 1, 1, 1, 0, 1]"
"[B(e, q)] P(k, y) | B(d, s) | B(l, v) | B(v, d) | S(c, h) | P(r, g) | B(s, q) | B(e, l)","[0, 1, 1, 1, 0, 0, 1, 1]"
"[P(w, j)] P(l, j) | P(y, b) | P(w, y) | P(x, l) | P(e, r) | P(b, x) | B(n, f) | B(o, k)","[1, 1, 1, 1, 0, 1, 0, 0]"
"[B(w, n)] P(o, f) | B(d, s) | B(y, q) | B(z, r) | S(u, x) | B(w, z) | B(r, v) | B(v, n)","[0, 0, 0, 1, 0, 1, 1, 1]"
"[P(e, j)] P(g, j) | P(l, z) | S(b, y) | P(h, f) | P(e, w) | P(p, k) | P(w, p) | B(x, s) | P(k, g)","[1, 0, 0, 0, 1, 1, 1, 0, 1]"
"[B(q, s)] P(x, f) | B(l, s) | B(m, e) | P(i, j) | B(q, m) | B(o, g) | B(e, l) | B(w, u)","[0, 1, 1, 0, 1, 0, 1, 0]"
"[P(q, a)] P(t, n) | P(e, h) | P(q, s) | P(s, l) | P(l, a) | S(p, c)","[0, 0, 1, 1, 1, 0]"
"[S(c, p)] S(m, j) | S(z, p) | B(v, f) | S(c, m) | S(d, z) | P(s, b) | S(a, o) | B(t, i) | S(j, d)","[1, 1, 0, 1, 1, 0, 0, 0, 1]"
"[B(v, u)] B(v, c) | B(k, s) | B(o, u) | B(c, z) | B(z, o) | P(d, h)","[1, 0, 1, 1, 1, 0]"
"[P(s, u)] P(h, u) | P(s, f) | S(j, b) | B(d, c) | P(r, a) | P(f, p) | S(x, q) | P(p, h)","[1, 1, 0, 0, 0, 1, 0, 1]"
"[P(w, t)] P(q, p) | P(i, k) | P(w, q) | P(s, u) | P(p, i) | P(k, t) | P(d, c)","[1, 1, 1, 0, 1, 1, 0]"
"[S(e, h)] S(e, s) | P(c, g) | S(s, w) | P(k, q) | S(w, u) | S(x, d) | P(n, y) | S(u, h)","[1, 0, 1, 0, 1, 0, 0, 1]"
"[P(w, i)] S(e, l) | P(d, u) | S(s, h) | P(w, b) | P(f, q) | P(u, i) | P(b, d)","[0, 1, 0, 1, 0, 1, 1]"
"[B(i, a)] S(p, g) | B(s, k) | S(c, q) | B(t, f) | B(k, a) | B(i, t) | B(f, s)","[0, 1, 0, 1, 1, 1, 1]"
"[S(t, v)] S(l, k) | S(r, v) | B(q, x) | S(k, r) | B(d, p) | B(j, z) | S(t, l) | S(b, n)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[B(q, d)] B(n, k) | P(f, u) | B(g, m) | B(q, b) | P(w, e) | B(s, d) | B(m, s) | B(b, g) | B(p, x)","[0, 0, 1, 1, 0, 1, 1, 1, 0]"
"[P(s, g)] P(j, g) | P(a, y) | B(r, p) | P(c, f) | P(b, h) | P(f, j) | S(u, l) | P(s, c)","[1, 0, 0, 1, 0, 1, 0, 1]"
"[P(m, o)] P(i, o) | S(h, q) | P(a, j) | P(j, i) | P(y, r) | P(f, a) | P(m, f) | B(u, g)","[1, 0, 1, 1, 0, 1, 1, 0]"
"[B(u, d)] B(m, o) | B(z, s) | B(u, j) | B(j, m) | B(o, w) | B(w, d) | B(h, q)","[1, 0, 1, 1, 1, 1, 0]"
"[S(v, g)] B(o, i) | S(s, j) | S(v, y) | S(t, k) | S(y, l) | S(l, d) | B(z, f) | S(x, g) | S(d, x)","[0, 0, 1, 0, 1, 1, 0, 1, 1]"
"[B(a, n)] B(j, n) | B(o, m) | S(w, l) | B(m, j) | P(q, e) | B(c, g) | B(a, o) | P(p, x)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[B(s, c)] P(q, y) | B(k, g) | S(j, f) | B(g, c) | B(n, k) | B(p, n) | B(s, p)","[0, 1, 0, 1, 1, 1, 1]"
"[S(j, w)] P(d, a) | S(n, w) | P(f, u) | S(j, z) | S(z, n)","[0, 1, 0, 1, 1]"
"[S(a, m)] P(l, o) | S(d, v) | P(k, p) | S(v, g) | P(t, z) | S(a, q) | S(g, m) | P(c, f) | S(q, d)","[0, 1, 0, 1, 0, 1, 1, 0, 1]"
"[B(v, w)] B(s, d) | P(j, g) | B(t, x) | B(d, w) | B(v, s) | P(m, f)","[1, 0, 0, 1, 1, 0]"
"[P(x, q)] P(x, v) | P(o, g) | B(b, f) | P(j, e) | P(v, s) | P(m, u) | S(r, n) | P(s, j) | P(e, q)","[1, 0, 0, 1, 1, 0, 0, 1, 1]"
"[B(h, p)] B(h, f) | B(f, r) | B(u, o) | B(z, n) | B(g, p) | S(b, v) | B(r, g)","[1, 1, 0, 0, 1, 0, 1]"
"[P(z, p)] P(u, p) | S(w, b) | P(z, x) | P(a, t) | B(d, g) | P(x, s) | P(s, u)","[1, 0, 1, 0, 0, 1, 1]"
"[S(q, v)] S(r, b) | S(h, c) | S(q, s) | S(c, v) | S(s, h) | P(z, y)","[0, 1, 1, 1, 1, 0]"
"[S(x, n)] S(m, e) | S(x, r) | B(w, p) | P(y, h) | B(d, k) | S(e, n) | S(r, m)","[1, 1, 0, 0, 0, 1, 1]"
"[B(r, q)] B(r, u) | B(o, q) | S(j, i) | P(k, c) | S(z, y) | B(h, g) | B(u, o)","[1, 1, 0, 0, 0, 0, 1]"
"[B(t, w)] B(q, c) | B(o, w) | P(z, b) | S(e, g) | B(t, r) | S(u, x) | B(r, o)","[0, 1, 0, 0, 1, 0, 1]"
"[P(t, b)] P(s, b) | P(p, c) | B(l, j) | P(u, s) | S(i, z) | P(t, u)","[1, 0, 0, 1, 0, 1]"
"[P(s, f)] B(u, n) | P(s, i) | P(l, f) | P(d, l) | S(o, b) | B(e, x) | P(i, d) | S(z, k)","[0, 1, 1, 1, 0, 0, 1, 0]"
"[S(m, s)] P(o, j) | B(z, e) | S(q, v) | P(u, d) | S(b, h) | S(m, b) | S(h, s)","[0, 0, 0, 0, 1, 1, 1]"
"[B(i, t)] B(r, l) | B(i, r) | P(o, v) | P(j, b) | B(l, t) | S(e, y)","[1, 1, 0, 0, 1, 0]"
"[P(g, t)] P(m, k) | P(y, c) | P(q, t) | P(u, q) | S(i, j) | P(c, u) | B(d, w) | P(g, y)","[0, 1, 1, 1, 0, 1, 0, 1]"
"[P(h, r)] B(v, b) | P(o, r) | P(x, o) | S(a, f) | S(j, u) | S(p, w) | P(q, x) | P(h, q)","[0, 1, 1, 0, 0, 0, 1, 1]"
"[P(t, u)] P(d, s) | P(s, u) | S(z, o) | B(l, h) | P(t, d)","[1, 1, 0, 0, 1]"
"[B(f, e)] S(u, s) | B(f, y) | B(y, a) | B(w, e) | B(x, v) | B(a, w)","[0, 1, 1, 1, 0, 1]"
"[S(f, k)] B(p, x) | S(m, a) | S(r, s) | S(f, l) | S(s, k) | S(l, r) | S(u, q)","[0, 0, 1, 1, 1, 1, 0]"
"[P(b, j)] P(p, f) | B(w, y) | P(b, t) | P(f, j) | P(t, m) | P(m, p) | B(d, n)","[1, 0, 1, 1, 1, 1, 0]"
